2026-06-01 01:20:25,189 args = Namespace(data='./data', batch_size=256, learning_rate=0.1, weight_decay=0.0003, epochs=10, save='outputs/logs_search/darts', seed=2, one_shot_optimizer='darts')
2026-06-01 01:20:31,946 param size = 0.003022MB
2026-06-01 01:20:31,946 Starting epoch 1/10
2026-06-01 01:20:32,737 train mini-batch 000, loss=2.337948e+00 accuracy=9.765625
2026-06-01 01:20:33,236 train mini-batch 001, loss=2.319304e+00 accuracy=11.523438
2026-06-01 01:20:33,831 train mini-batch 002, loss=2.317152e+00 accuracy=12.109375
2026-06-01 01:20:34,371 train mini-batch 003, loss=2.312825e+00 accuracy=13.476562
2026-06-01 01:20:34,799 train mini-batch 004, loss=2.304617e+00 accuracy=14.687500
2026-06-01 01:20:35,316 train mini-batch 005, loss=2.299466e+00 accuracy=15.820312
2026-06-01 01:20:35,804 train mini-batch 006, loss=2.293953e+00 accuracy=16.741071
2026-06-01 01:20:36,268 train mini-batch 007, loss=2.289585e+00 accuracy=16.992188
2026-06-01 01:20:36,786 train mini-batch 008, loss=2.285451e+00 accuracy=17.404514
2026-06-01 01:20:37,289 train mini-batch 009, loss=2.283507e+00 accuracy=17.343750
2026-06-01 01:20:37,730 train mini-batch 010, loss=2.279906e+00 accuracy=17.613636
2026-06-01 01:20:38,225 train mini-batch 011, loss=2.274899e+00 accuracy=18.066406
2026-06-01 01:20:38,764 train mini-batch 012, loss=2.271225e+00 accuracy=18.359375
2026-06-01 01:20:39,207 train mini-batch 013, loss=2.265731e+00 accuracy=18.889509
2026-06-01 01:20:39,710 train mini-batch 014, loss=2.263183e+00 accuracy=18.828125
2026-06-01 01:20:40,159 train mini-batch 015, loss=2.259867e+00 accuracy=18.896484
2026-06-01 01:20:40,676 train mini-batch 016, loss=2.254357e+00 accuracy=19.094669
2026-06-01 01:20:41,325 train mini-batch 017, loss=2.249324e+00 accuracy=19.140625
2026-06-01 01:20:41,743 train mini-batch 018, loss=2.243238e+00 accuracy=19.325658
2026-06-01 01:20:42,241 train mini-batch 019, loss=2.237083e+00 accuracy=19.433594
2026-06-01 01:20:42,851 train mini-batch 020, loss=2.230674e+00 accuracy=19.382440
2026-06-01 01:20:43,391 train mini-batch 021, loss=2.224444e+00 accuracy=19.531250
2026-06-01 01:20:43,898 train mini-batch 022, loss=2.217864e+00 accuracy=19.650136
2026-06-01 01:20:44,424 train mini-batch 023, loss=2.212088e+00 accuracy=19.726562
