dataset,method,mean_r2,std_r2,n_runs,folds,scores
bike_sharing_demand,defaults,0.922280103257816,1.1102230246251565e-16,3,1,0.9223;0.9223;0.9223
bike_sharing_demand,random_search,0.9184328775166507,0.0021893706385393524,3,1,0.9154;0.9193;0.9206
bike_sharing_demand,pipeline,0.9244683485217262,0.001753514976907683,3,1,0.9247;0.9222;0.9265
bike_sharing_demand,pipeline_smac,0.9248548223464351,0.001995649218486578,3,1,0.9233;0.9236;0.9277
brazilian_houses,defaults,0.9975228533164303,0.0008607864584994536,3,1,0.9963;0.9981;0.9981
brazilian_houses,random_search,0.9833195186592002,0.022309341315917344,3,1,0.9988;0.9518;0.9994
brazilian_houses,pipeline,0.9871422392918449,0.016802376607491225,3,1,0.9988;0.9634;0.9993
brazilian_houses,pipeline_smac,0.9915105696418838,0.010624571689637397,3,1,0.9992;0.9765;0.9989
wine_quality,defaults,0.44780390216957233,0.05655087499325002,3,1,0.4128;0.4030;0.5276
wine_quality,random_search,0.4906264112021743,0.04387027286234302,3,1,0.4735;0.4475;0.5508
wine_quality,pipeline,0.5326502993347153,0.0052904536995964915,3,1,0.5401;0.5290;0.5288
wine_quality,pipeline_smac,0.520451590396975,0.025488908350378578,3,1,0.5372;0.4844;0.5398
superconductivity,defaults,0.9038883544084978,0.0028236792020803355,3,1,0.9019;0.9079;0.9019
superconductivity,random_search,0.9046059428407746,0.0010865037945047018,3,1,0.9047;0.9059;0.9032
superconductivity,pipeline,0.9068428426163068,0.0008317210279862805,3,1,0.9080;0.9061;0.9064
superconductivity,pipeline_smac,0.9070173565854492,0.0022486748430763223,3,1,0.9039;0.9089;0.9083
yprop_4_1,defaults,0.0821555888821981,0.001178258876953378,3,1,0.0829;0.0831;0.0805
yprop_4_1,random_search,0.10072887311712549,0.009621089454939497,3,1,0.1141;0.0964;0.0917
yprop_4_1,pipeline,0.10342806785392755,0.004442311422003763,3,1,0.1088;0.0980;0.1035
yprop_4_1,pipeline_smac,0.10754369749754418,0.005657121642161985,3,1,0.1102;0.0997;0.1127
